data_referencia,ano,trimestre_num,trimestre,uf_id,taxa_desocupacao_pct,taxa_subutilizacao_pct
2017-04-01,2017,2,2º trimestre,50,9.0,17.4
2012-10-01,2012,4,4º trimestre,21,7.6,21.8
2022-07-01,2022,3,3º trimestre,14,4.9,13.7
2024-07-01,2024,3,3º trimestre,52,5.2,10.6
2015-07-01,2015,3,3º trimestre,23,9.7,25.5
2012-07-01,2012,3,3º trimestre,17,7.3,19.6
2014-10-01,2014,4,4º trimestre,53,8.8,14.0
2023-07-01,2023,3,3º trimestre,43,5.4,12.0
2019-10-01,2019,4,4º trimestre,26,14.2,29.3
2014-04-01,2014,2,2º trimestre,31,6.9,14.8
2014-10-01,2014,4,4º trimestre,13,7.9,14.1
2024-04-01,2024,2,2º trimestre,22,7.6,33.0
2025-10-01,2025,4,4º trimestre,33,6.9,13.0
2023-10-01,2023,4,4º trimestre,41,4.7,10.0
2021-10-01,2021,4,4º trimestre,31,9.5,22.2
2020-01-01,2020,1,1º trimestre,11,8.5,18.1
2023-01-01,2023,1,1º trimestre,35,8.5,15.5
2014-04-01,2014,2,2º trimestre,11,4.2,10.0
2016-01-01,2016,1,1º trimestre,22,9.6,31.5
2015-04-01,2015,2,2º trimestre,42,4.0,6.8
2020-10-01,2020,4,4º trimestre,17,11.3,30.0
2025-04-01,2025,2,2º trimestre,31,4.0,10.4
2019-01-01,2019,1,1º trimestre,51,9.2,16.6
2024-10-01,2024,4,4º trimestre,11,2.8,7.4
2023-10-01,2023,4,4º trimestre,29,12.7,33.3
2020-01-01,2020,1,1º trimestre,43,8.5,16.0
2020-01-01,2020,1,1º trimestre,26,14.8,30.1
2019-10-01,2019,4,4º trimestre,28,15.1,33.4
2017-01-01,2017,1,1º trimestre,23,14.5,30.3
2012-01-01,2012,1,1º trimestre,50,7.6,22.2
2025-04-01,2025,2,2º trimestre,22,8.5,30.2
2023-10-01,2023,4,4º trimestre,52,5.6,11.7
2015-04-01,2015,2,2º trimestre,32,6.8,10.2
2026-01-01,2026,1,1º trimestre,14,5.7,14.0
2021-07-01,2021,3,3º trimestre,26,19.3,35.5
2024-07-01,2024,3,3º trimestre,21,7.6,24.2
2022-10-01,2022,4,4º trimestre,22,9.5,38.8
2022-04-01,2022,2,2º trimestre,25,12.3,31.2
2015-10-01,2015,4,4º trimestre,51,5.8,10.1
2016-04-01,2016,2,2º trimestre,16,16.2,24.1
2020-04-01,2020,2,2º trimestre,27,18.2,46.5
2021-10-01,2021,4,4º trimestre,41,7.0,15.2
2012-10-01,2012,4,4º trimestre,27,11.1,24.1
2021-04-01,2021,2,2º trimestre,23,15.1,38.8
2021-04-01,2021,2,2º trimestre,31,12.7,26.6
2018-07-01,2018,3,3º trimestre,41,8.7,16.5
2017-07-01,2017,3,3º trimestre,50,8.0,17.6
